Comment,Full-Text File ID,referencetype,"Author1","Gender","affiliationauthorprimary1","Current Affiliation,Author,Primary 1","Author,Primary 2","Gender,Author,Primary 2","Affiliation,Author,Primary 2","Current Affiliation,Author,Primary 2","Author,Primary 3","Gender,Author,Primary 3","Affiliation,Author,Primary 3","Current Affiliation,Author,Primary 3","Author,Primary 4","Gender,Author,Primary 4","Affiliation,Author,Primary 4","Current Affiliation,Author,Primary 4","Author,Primary 5","Gender,Author,Primary 5","Affiliation,Author,Primary 5","Current Affiliation,Author,Primary 5","Authors, Secondary",title,Title Secondary,"Title, Tertiary",Original Foreign Title,periodicalfull,date,Original Pub Year,Keywords,Source Genre Folder,"style","Style,Secondary","Style,Tertiary",Abstract,Publisher,Place of Publication,Language,Original Language
,Pedersen_2009_Anticipation and delay as micro-rhythm and gesture in hip hop aesthetics,Journal Article,"Pedersen,Birgitte Stougaard",female,"Aarhus University,Denmark","Aarhus University,Denmark",,,,,,,,,,,,,,,,,,Anticipation and Delay as Micro-Rhythm and Gesture in Hip Hop Aesthetics,,,,Journal of Music and Meaning,2009,2009,AFRICAN Americans -- Music;RAP (Music) -- Social aspects;HIP-hop;LANGUAGE & languages -- Rhythm;AESTHETICS -- Study & teaching;GESTURE;METAPHOR;RHETORICAL analysis;AUTHENTICITY (Philosophy),Rap & Hip Hop,Hip-hop,Rap,,"The article discusses the concepts of micro-rhythmic gestures in hip hop and rap music. It presents an investigation which aims to explore the relationship between the meaning of rhythm and micro-rhythmic timing. It describes rap music as having a repetitive beat and flow and a loud babbling voice on top of the groove. It mentions that hip hop music is compose of rhythmic movements, rhymes, and metaphorical language. It further stresses that micro-rhythmic gestures are significant to the rhetorical appearance of rap music and the self-understanding of hip hop culture.","Institute of Philosophy, Education and the Study of Religions, University of Southern Denmark","Odense,Denmark",English,English
,Vuust_2008_Listen up! Polyrhythms in brain and music,Journal Article,"Vuust,Peter",male,"Aarhus University,Denmark","Aarhus University,Denmark","Roepstorff,Andreas",male,"Aarhus University,Denmark","Aarhus University,Denmark",,,,,,,,,,,,,,Listen Up! Polyrhythms in Brain and Music,,,,Cognitive Semiotics,2008,2008,,Funk & Jazz,Jazz,,,"The relationship between music and language is fiercely debated in the modern literature of neuroscience and music. Here, we argue that a musicological study of online communication between jazz musicians in combination with brain imaging studies offers a unique setting for evaluating communicational aspects of music practices that rarely enter the present discourse on the subject. We employ Miles Davis' quintet of the 1960s and its use of polyrhythmic structures as a general example of a jazz group focusing on communication. First, we consider jazz in the light of Roman Jakobson's model of communication in a broad perspective. Next, we analyze polyrhythmic occurrences in Herbie Hancock's solo on the jazz standard ""All of You"" as an example of how this communication develops as a narrative structuring of tension and relief. We identify two typical types of polyrhythms, metric displacement and regrouping of subdivisions. Finally, we show how these polyrhythmic structures employ brain areas hitherto associated with linguistic semantic processing, and discuss possible implications.",Peter Lang,"Bern,Switzerland",English,English
,Vuust_2011_Tapping polyrhythms in music activates language areas,Journal Article,"Vuust,Peter",male,"Aarhus University,Denmark","Aarhus University,Denmark","Wallentin,Mikkel",male,"Aarhus University,Denmark","Aarhus University,Denmark","Mouridsen,Kim",female,"Aarhus University,Denmark","Aarhus University,Denmark","Østergaard,Leif",male,"Aarhus University,Denmark","Aarhus University,Denmark","Roepstorff,Andreas",male,"Aarhus University,Denmark","Aarhus University,Denmark",,Tapping Polyrhythms in Music Activates Language Areas,,,,Neuroscience Letters,2011,2011,Music;Polyrhythm;Meter;Rhythm;fMRI;Language;Auditory;Motor,Rock & Metal,Jazz,Rock,,"Music is experienced and understood on the basis of foreground/background relationships and tension created between actual music and the underlying meter. Polyrhythms create tension between a counter meter and the main meter. Previously, we have shown that Brodmann area 47 (BA47), a brain area associated with processing of language, is activated bilaterally when musicians tap the main meter in a polymetric context emphasizing a counter meter, suggesting that processing of metric elements in music relies on brain areas also involved in language processing. In that study, the tension was created entirely by changes in the stimulus while participants were tapping the main meter. Here we find left-hemispheric BA47 activation in response to a self-produced counter meter on top of a main meter provided by an ecological music excerpt. This data indicates that the activation is linked to polyrhythmic tension, regardless of whether it arises from the stimulus or the task.","Elsevier Ireland,Ltd","Amsterdam,Netherlands",English,English
,"Vuust,Østergaard,Roepstorff_2006_Polyrhythmic communicational devices appear as language in the brains of musicians",Conference Proceedings,"Vuust,Peter",male,"Aarhus University,Denmark","Aarhus University,Denmark","Østergaard,Leif",male,"Aarhus University,Denmark","Aarhus University,Denmark","Roepstorff,Andreas",male,"Aarhus University,Denmark","Aarhus University,Denmark",,,,,,,,,,Polyrhythmic Communicational Devices Appear as Language in the Brains of Musicians,ICMPC9 - International Conference on Music Perception and Cognition,,,,2006,2006," Jakobson, Roman -- writings -- model of communication -- applied to jazz; improvisation -- Hancock, Herbie -- polyrhythm -- relation to structure; Hancock, Herbie -- performances -- improvisation -- polyrhythm -- relation to structure; anatomy and physiology -- brain -- musicians -- polyrhythmic communicational devices -- relation to linguistic semantic processing; psychology -- linguistic semantic processing -- musicians -- polyrhythmic communicational devices; language -- linguistic semantic processing -- musicians -- polyrhythmic communicational devices; jazz -- performance -- communication -- relation to brain imaging studies; Music and related disciplines -- Psychology and hearing; Theory, analysis, and composition -- Rhythm, meter, tempo; Jazz and blues -- General",Funk & Jazz,Jazz,,,"The relationship between music and language has been oneof the most fiercely debated subjects in the modern literatureof neuroscience and music. In this paper we argue thata musicological study of the online communication betweenjazz musicians in combination with brain imaging studiesoffers a unique setting to evaluate communicational aspectsof music practices that rarely enters the present discourseon the subject. We employ Miles Davis' quintet of the1960es and its use of polyrhythmic structures as a generalexample of a jazz group focusing on communication. First,we consider jazz in the light of Roman Jakobson's model ofcommunication in a broad perspective. Next, we analyzepolyrhythmic occurrences in Herbie Hancock´s solo on thejazz standard ""All of You"" as an example of how this communicationdevelops as a narrative structuring of tensionand relief. Finally, we show how polyrhythmic structuresemploy brain areas, hitherto associated with linguistic semanticprocessing and discuss possible implications of this result.",ICMPC,"Bologna,Italy",English,English
,"Vuust,Roepstorff,Wallentin,Mouridsen,Østergaard_2006_It don’t mean a thing..._Keeping the rhythm during polyrhythmic tension, activates language areas",Journal Article,"Vuust,Peter",male,"Aarhus University,Denmark","Aarhus University,Denmark","Roepstorff,Andreas",male,"Aarhus University,Denmark","Aarhus University,Denmark","Wallentin,Mikkel",male,"Aarhus University,Denmark","Aarhus University,Denmark","Mouridsen,Kim",female,"Aarhus University,Denmark","Aarhus University,Denmark","Østergaard,Leif",male,"Aarhus University,Denmark","Aarhus University,Denmark",,"It Don't Mean a Thing...: Keeping the Rhythm during Polyrhythmic Tension, Activates Language Areas (BA47)",,,,NeuroImage,2006,2006,BRAIN;MUSIC;NEURAL circuitry;CENTRAL nervous system,Funk & Jazz,Jazz,Rock,Contemporary,"Music is experienced and understood on the basis of foreground/background relationships created between actual music and the underlying meter. In contemporary styles of music so-called polyrhythmic, structures hence create tension between a counter pulse and the main pulse. This exerts a marked influence on the listener, particularly when the experience of the original meter is maintained during the counter pulse. We here demonstrate that Brodmann area 47, an area associated with higher processing of language, is activated bilaterally when musicians tap the main pulse in a polymetric context where the music emphasizes a counter meter. This suggests that the processing of metric elements of music relies on brain areas also involved in language comprehension. We propose that BA47 is involved in general neuronal processing of temporal coherence subserving both language and music.","Elsevier,Inc","Amsterdam,Netherlands",English,English
,Vuust_2005_Neural processing of polyrhythmic structures in music,Dissertation/Thesis,"Vuust,Peter",male,"Aarhus University,Denmark;Royal Academy of Music,Aarhu/Aalborg","Aarhus University,Denmark",,,,,,,,,,,,,,,,,,Neural Processing of Polyrhythmic Structures in Music,,,,,2005,2005,"83: Music and related disciplines--Physiology, therapy, medicine;rhythm and meter -- polyrhythms -- neural processing;anatomy and physiology -- perception -- polyrhythms -- neural processing;perception -- polyrhythm -- neural processing;Hancock, Herbie -- sound recordings -- piano solos -- polyrhythms -- neural processing",Funk & Jazz,Jazz,,,"Musicians constantly communicate auditorily when playing together in order to create their musical artwork. In jazz, as in most other musical styles, rhythm is one of the major trajectories for communication, and the tension created by polyrhythm/polymeter is arguably one of the strongest rhythmic means and a strong attractor of attention. A graphical overview of the polyrhythmic occurrences in piano, bass, and drums in a piano solo by Herbie Hancock demonstrates two main types of polyrhythm: metric displacement and regrouping of subdivisions and their usage. By examining neural processing of the different types of polyrhythmic structures, the following hypotheses are posed: (1) Neural processing of metric incongruences differ in lateralization and strength between musicians and non-musicians at the pre-attentive level; (2) Processing of metric incongruence is consistent with a predictive coding framework, i.e., lower level brain areas estimate predictions of their expected input based on contextual information from higher level areas; and (3) Neural processing of polyrhythms are co-localized with areas of language processing in musicians.","Aarhus University,Denmark;Royal Academy of Music,Aarhus/Aalborg","Aarhus,Denmark",English,English
,"Vuust,Witek_2014_Rhythmic complexity and predictive coding_A novel approach to modeling rhythm and meter perception in music",Journal Article,"Vuust,Peter",male,"Aarhus University,Denmark;Royal Academy of Music,Aarhu/Aalborg","Aarhus University,Denmark;Royal Academy of Music,Aarhu/Aalborg","Witek,Maria A.G.",female,"Aarhus University,Denmark","Aarhus University,Denmark",,,,,,,,,,,,,,Rhythmic Complexity and Predictive Coding: A Novel Approach to Modeling Rhythm and Meter Perception in Music,,,,Frontiers in Psychology,2014,2014,"Keywords: rhythm, meter, rhythmic complexity, predictive coding, pleasure",Funk & Jazz,Jazz,Rock,,"Musical rhythm, consisting of apparently abstract intervals of accented temporal events, has a remarkable capacity to move our minds and bodies. How does the cognitive system enable our experiences of rhythmically complex music? In this paper, we describe some common forms of rhythmic complexity in music and propose the theory of predictive coding (PC) as a framework for understanding how rhythm and rhythmic complexity are processed in the brain. We also consider why we feel so compelled by rhythmic tension in music. First, we consider theories of rhythm and meter perception, which provide hierarchical and computational approaches to modeling. Second, we present the theory of PC, which posits a hierarchical organization of brain responses reflecting fundamental, survival-related mechanisms associated with predicting future events. According to this theory, perception and learning is manifested through the brain’s Bayesian minimization of the error between the input to the brain and the brain’s prior expectations. Third, we develop a PC model of musical rhythm, in which rhythm perception is conceptualized as an interaction between what is heard (“rhythm”) and the brain’s anticipatory structuring of music (“meter”). Finally, we review empirical studies of the neural and behavioral effects of syncopation, polyrhythm and groove, and propose how these studies can be seen as special cases of the PC theory. We argue that musical rhythm exploits the brain’s general principles of prediction and propose that pleasure and desire for sensorimotor synchronization from musical rhythm may be a result of such mechanisms",Frontiers Media S. A.,"Lausanne,Switzerland",English,English
,Byrnside_2007_The formation of a musical style_Early rock,"Chapter","Byrnside,Ronald",male,Agnes Scott College ,deceased,,,,,,,,,,,,,,,,,,The Formation of a Musical Style: Early Rock,Critical Essays in Popular Musicology,,,,2007,2007,39: Popular music -- General;rock -- style analysis -- 1950s;genre studies -- rock -- 1950s,Funk & Jazz,Jazz,Rock,,"The term style is often used in discussions of music, as indeed it is used in discussions and assessments of. many areas of life. In fact, we often use the term life-style to designate a particular mode and manner °f existence. To attach the word style to a given phenomenon or set of phe- nomena is to suggest that it possesses something that is distinctive and indi- vidual to such an extent that it may be isolated from other generically similar Phenomena. For example, in discussing footwear we can fairly easily separate the sneaker from the boot, the sandal, the thong, and several other types of shoes, on the basis of their distinctive qualities. In doing so we are consciously or unconsciously involved in one of the rudimentary procedures of style analysis.  As used in the arts, the term style refers to various levels, from the very general to the very particular. For instance, on a very general level one can ter to a Western style of music (as opposed to a non-Western style), or to Renaissance style (as-opposed to, say, a baroque style), or to an operatic style (as opposed to, say, a symphonic style). On a more particular level one can speak of a dixieland jazz style, as distinct from jazz style in general. On a still more particular level one can deal with the style of a given composer or even a specific composition...In this chapter we will deal specifically with the formation and develop- ment of Rock (n' Roll style, and also, more generally, with the formation of several other styles that have evolved in the course of Western music. We will be as concerned with the formative process of a style as we will with discovering and isolating its identifying characteristics.",Ashgate,"Burlington,VT,United States",English,English
,"Benadon,Gioia_2009_How Hooker found his boogie_A rhythmic analysis of a classic groove",Journal Article,"Benadon,Fernando",male,American University,American University,"Gioia,Ted",male,"Plano,TX,United States",freelance/writer,,,,,,,,,,,,,,How Hooker Found His Boogie: A Rhythmic Analysis of a Classic Groove,,,,Popular Music,2009,2009,"61: Theory, analysis, and composition -- Rhythm, meter, tempo;38: Jazz and blues -- General;Hooker, John Lee -- performances -- boogie rhythm -- analysis;rhythm and meter -- Hooker, J.L. -- boogie rhythm -- analysis;sound recordings -- Hooker, J.L. -- boogie rhythm -- analysis;instruments--string (guitar family) -- electric guitar playing -- Hooker, J.L. -- boogie rhythm -- influence on popular music;analysis -- blues -- guitar playing -- rhythm and meter -- psychoacoustic evaluation;blues -- rhythm and meter -- psychoacoustic evaluation;popular music--general -- rhythm and meter -- boogie rhythm -- influeced by Hooker;performers--jazz and blues -- Hooker, J.L;performers--electric guitar -- Hooker, J.L;perception -- blues -- rhythm and meter -- psychoacoustic evaluation",Rock & Metal,Rock,Boogie woogie,,"Analyzes the rhythmic components in John Lee Hooker's boogie. Hooker recasts a signature riff from a ternary to a binary beat subdivision, paving the way for the triple-to-duple shift that characterized mid-century American popular music. Further, the boogie's hypnotic feel is attributed to two psychoacoustic phenomena: stream segregation and temporal order misjudgment. Stream segregation occurs when the musical surface is divided by the listener into two or more auditory entities (streams), usually as a result of timbral and registral contrasts. In Hooker's case, these contrasts occur between the guitar groove's downbeats and upbeats, whose extreme proximity also blurs their temporal order. These expressive effects are complemented by global and gradual accelerandos that envelop Hooker's early performances.",Cambridge University Press,"Cambridge,United Kingdom;New York City,NY,United States",English,English
,Bish_2005_A biography of William O. Smith_The composition of a life,Dissertation/Thesis,"Bish,Deborah F.",female,Arizona State University,Florida State University,,,,,,,,,,,,,,,,,,A Biography of William O. Smith: The Composition of a Life,,,,,2005,2005,"28: Western art music -- History. 1910 to present (history);Smith, William O. (Bill) -- life -- career;Smith, William O. (Bill) -- works;performers--jazz and blues -- Smith, Bill;performers--clarinet -- Smith, Bill;correspondence -- Smith, Bill;criticism--by subject -- Smith, Bill;jazz -- third stream -- Smith, Bill;catalogues and indexes--by name -- Smith, Bill;discographies -- Smith, Bill;tonality -- Smith, Bill -- polytonality;serialism -- Smith, Bill;instruments--wind (woodwind, reed family) -- clarinet playing -- multiphonics -- Smith, Bill;tempo -- Smith, Bill -- polytempo;minimalism -- Smith, Bill",Funk & Jazz,Jazz,Third stream,,"William O. Smith's contributions to the musical landscape of the 20th century are immense. As a composer, he has been the recipient of several prestigious awards, including: a Guggenheim Fellowship, Prix de Paris, Prix de Rome, and Phelan Award. His development of a card catalogue of multiphonics for the clarinet in 1960 was revolutionary, and profoundly influenced many composers such as Gunther Schuller, John Eaton, and Eric Mandat; who have all dedicated works to Smith. As a jazz artist, his recordings with Dave Brubeck (and other prominent jazz artists) were also innovative, and showcase some of the first Third Stream compositions (along with remarkable jazz clarinet performances). This research project traces his life through each important phase of his career (in both composition and performance). Each section includes reviews, correspondence, and interviews that highlight his professional accomplishments during that period. The main areas of focus are: his early studies with Milhaud and Sessions (and his polytonal approach to composition), membership in the Dave Brubeck Octet (and continuing relationship with Dave Brubeck), shift to serial techniques (during his time at the American Academy in Rome), invention and documentation of multiphonics for the clarinet, work with the American Jazz Ensemble, the double and demi-clarinet, polytempo concepts, aspects of theater in composition, minimalism, electronics, and the combination of jazz and classical idioms. A complete list of his compositions and a discography are included in the appendices.",Arizona State University,"Phoenix,AZ,United States",English,English
